Text,Sentiment
very bullish on market  also talked trends for scty ost angi fio  panw a jcp p yep mnst gpn on show.,increase
bac what happens next?  ,decrease
kcg someone bought 3.22k 4 jan 18 calls....,increase
man i didnt know about skippy when i made this...would have thrown in a jar h #hormel  ,increase
"big move in bonds today, 7 months high for 10 y rate, still going lower here zn_f, could get truly ugly if good nfp number in am spy tt",increase
market wrap video + additions to watch ist  including: bcei bji cee es sons sqnm nx yep,increase
maybe when vrng asked the judge for a 7% royalty it became too risky for goog to deal with?  they want to settle,increase
bji over 35.53 if good volume  ,increase
cee over 35.12  ,increase
sqnm  over 5.05  ,increase
nx on flag break  ,increase
3d systems brings next-gen consumer 3d printing to ces 2013  ddd,increase
aap will top out in april when aston kutcher stars in 'jobs'.  kinda like how facebook did when 'social network' came out. fb,decrease
"vng w/ macd turning up & above its signal line, vng could post a nice rally from current levels  ",increase
pi 3q 10q operational cash flow for 9mos -20million. 269%decline vs. 9mos year ago.,decrease
bbby 3q 10q operational cash flow 135 million. 53 increase vs. year ago q3. 64% improvement q o q,increase
di 6mos operational cash flow 267 million. increases 187 million vs.6mos year ago. 233% increase,increase
am 3q 10q 9mos operational cash flow 32 million vs. neg 26 mil 9mos year ago.,increase
am 3q operational cash flow neg 16 million.  vs. year ago 3q of negative 68million.  52 million improvement,increase
"a quiet carl icahn = bullish.  nfx shorts should be paranoid on every close as they will get acquired.  think aapl, msft, amzn, fb",increase
i am an aapl bull but cannot break this trend line in obv   ,decrease
user phantom7 i've been calling +4 ever since the start of this thing. 3.75 should be a given~ kcg,increase
nx on watch list above small flag on volume of 26% of ave full day so good volume  ,increase
goog poised to clear this next resistance (buy / add area) watch action / volume closely here   ,increase
gdp on watch list slightly over line and 50-day ema light volume of 5% ave full day   ,increase
"took some profits off ddd, will add if breaks 60 on volume.",increase
chk - what i'm looking at - small risk position calls only. scalp - maybe a swing xe watch.   ,increase
"onty if the holders would just hold out or raise their ask here, this could really pop. going to climb slowly regardless...",increase
eog pxd oas #energyswag,increase
aap moving down with volume. couldnt cope with the descending trend line. trend is still down. perhaps 460 is not impossible after all.,decrease
aap 50ema continue to work as aap is making lower highs in the maco sense   ,decrease
"went short spy yesterday, should have picked aap instead. still think market needs to move down a bit then resume move to the upside.",decrease
aap people be realistic. market undecided what to do with apple. earnings will lift that cloud. if good we might eay see a reversal.,decrease
will watch the close carefully then decide whether to ong or shot aap. below 530 shot!!!,decrease
"jcp keep an eye on this triangle. big short int, 34%. reports feb 27. cup & handle. at dt. ong  ",increase
sold a little goog ...first time in a while,increase
nice cup with handle breakout on mca,increase
faf new highs.,increase
spy giving aap the finger. we don't care about you anymore lol,decrease
the smith&corona doing ok. amzn,increase
"va - ong  43.07. trailing stop  58.98 from 11 stops of 54.53, 52.45, 48.05, 47.32, 46.71, ... 41.32 & 39.57 -  ",increase
amzn alert update: a last minute push tried to shake out puts. we're hanging on for now.  ,decrease
aap volume higher today than monday. keep that in mind.,increase
"hb.a - ong  73.67. trailing stop  71.92 from 3 prior stops of 70.86, 68.64 and 62.41 -  ",increase
"the key is not to panic here.  aap is in the domain of twitchy day traders on robots now, but long term should hold up on fundamentals",increase
nvda 4 hour - love to see the vol explode.   ,increase
vng - take a hard look at goog ftc settlement over patents.  ftc making goog play nice with vng?  makes sense  ,increase
some worried i had gone oco with my 737.71 up call for goog ! now at door step of nearly 40 move  ,increase
vng its crazy that anyone listens and trades off this tool.,increase
goog  is getting fueled by aap's reversal.,increase
user why make a bby offer now when he can shave 4 more off offer price? bid went from 24-26 to just 20 in a matter of months.,decrease
nvda - to answer your question entry (add) was the red candle at 10:50am today. ove flags  ,increase
"aap 950 lot bid in the feb 580 call at 9.50, might push the stock up or create support. 26 delta option",increase
"wpi - was on our short candidate list 12/31 and we missed it, got started short today",decrease
mye breaking out,increase
short ht under the 200 sma stop just over the high of the day. first target 53.95. second target 53.21 gap fill.,decrease
qcom introduces streamboost:  average home connects up to seven devices to the internet,increase
nvda love to see momo this next week like previous histogram bars noted.   ,decrease
hma unusual option activity. trader buys 11k of the jan 9 put. short term bear play,decrease
"adbe option trader buys 5,300 of the feb 39c against oi of 741. bet is on stock above 39 by feb 16th",increase
"nvda ooks bullish but it must stay above 13.05 on a closing basis (monthly), eps say no?  ",decrease
sqnm from watch list over line on volume of 86% of ave full day  ,increase
hott failed breakout?  ,decrease
zn_f ticking up.. i'd be a seller of sdjpy here (*if i weren't already)...,decrease
"ino wow, nice accumulation today, heavy...",increase
znga fat juicy short back to lower levels as it closes gap  2.72?  ,decrease
gdot nice bounce from its 50sma. ooks ready to test the recent highs  ,increase
hma ooking for 10's; headed higher!  ,increase
"spf ooking for 9's, headed higher with lower rates.  ",increase
"gs jpm xf hod, they are hungry for stocks out there... spy",increase
chk weekly bullish engulfing   ,increase
gs looks good heading into next week.,increase
aap all i know is ipad minis are out of stock everywhere. been going to 8 different stores and none of them have em in stock,increase
as goog explodes and aapl implodes minte 21 to 23 of user vid from a few years ago have mark nailing the subject  ,increase
"kkd krispy kreme doughnuts, inc. at ic xchange conference (ive) 01/17/13 at 9:15 a.m. et",increase
picked up fs on pullback due to downgrade. held support to close week. first pt 37.30  ,increase
"user: i've been picking this one for a while, but i'm calling kkd as the next food company to make a dpz like run in twenty13.",increase
"znga still shows red and dead on a enko view, pf box size 0.25  ",decrease
"gs enko view of gs, pf box size = 5 showing potential to break to 175  ",increase
"nvda enko view showing red and dead, need 14 or more for a long & less than 13 for a short  ",decrease
"csx enko view, pf box size = 1,  vey bullish above 21, coal stocks confirming move on rails.  ",increase
goog and on enko w/ a pf box size of 50 it looks like a failed breakout  ,decrease
user at 155 for gs but very bullish on fins as rates are low = the fed put!,increase
user znga i use lagging indicators on lagging stocks ;),decrease
"goog, i like it with a close above 744.96",increase
fs b/o above bull flag on heavy vol. etest of support today on light vol. 41% short float  ,increase
msft gap close. continues base. si rising. nice : pickup w/ stop below major support & 28.22 pt.  ,increase
financials continue ripping. easy money. c approaching 43 pt  ,increase
vs follow throughs. 10 dma crossing above 200 dma. trading above all ma's. great setup  ,increase
"user bac yeah ... they made the easy profits by slashing jobs, now they have to close win-win sales.",decrease
new buys today from watch list all did well  nx 20% sons yep  bcei  gdp  ay and sqnm total triggers this week 39 - a big week,increase
"sbx  #si #earththis is the kind of stuff that makes us perk up (so sorry!).but, go on...bullish five waves to 58.    ",increase
"can you say no brainier? ong sbac stock, 60/80 feb collar for protection...  ",increase
anyone can say how much svu would go even if the deal goes through? 4? 5? not sure if much upside left.,increase
nvda the bounce continues and the stock has now cleared its 200sma and the 13 level. ong   ,increase
axti momentum picking up w/ macd climbing/si rising.obv indicator made a new higher high this week  ,increase
gdot obv is moving upwards which means that big money is moving into the stock slowly. ong  ,increase
aapl daily (see notes)  ,increase
amzn daily (see notes)  ,increase
c daily (see notes)   ,increase
"egov long 16.62 strong above all ma's, resting/basing, room to upper bolly to absorb 10/20 day atr  ",increase
aa fibs   friends   ,increase
tsa: judge dismisses massachusetts state automobile dealers association awsuit -  ,increase
bac up trending doesn't appear to slow down as of yet. it's prudent to take some profit at time.  ,increase
"fe - looks like it fired a sell signal friday, may trade this short on tick below friday low - have to do more work on utilities later...",decrease
coh also got rejected by cloud but still in slight uptrend for past few. buy when it enters cloud  ,increase
yum looks good here out of cloud with stops of either 200 sma or cloud under it. target of 50 sma  ,increase
eqix expe fb gs hog mon pii qcom qih soda some ideas for next week.  favorite setup is eqix  ,increase
"eqix no position, would like to see a breakout over 216.50. prefer more consolidation though  ",increase
time for a contraction in aap.down to test 500 this week by weds.long jan11th 510/500 put spread  ,decrease
aap bounce coming?   ,increase
fs en fuego!!   ,increase
axa over-sold in oscillating ange....indicators suggest buy price holds above prev close + increase in volume.,increase
a few i'm not holding but will check out. user: bullish macd cross: bbg cop eni eog jec ig sfy xe xop,increase
"jds beautiful trend, 13.5 should bring out the dip buyers",increase
ko has trouble staying above 200 day sma past few weeks. could short here or higher stops above 38  ,decrease
mako a red day monday breaks support and could test old lows of 9-9.25  ,decrease
after-hour most advanced: opt mako fod gnmk jds ege amn px aay ddd sv pm bks f,increase
goog with simple fibonacci projections on close over 739. 127.2% at 766 and 161.8% at 802  ,increase
why i am buying aap on monday -  ,increase
user: amzn over 263 has a measured move to 307  ,increase
user the ino pipeline and the partnerships with the ni's and mk--that pretty much sums it up...,increase
"amzn the data company, not the retailer.  a new post by me.   ",increase
trading environment favors long side. don't over stay welcome. too few quality leaders. gs amh ocn egn hov aap  ,decrease
aap what an amazing run it has been since 2005. i don't think it's over.   ,increase
a tale of two stocks  aap goog spy qqq,increase
f ford's powerful bullish pattern dictates price direction  ,increase
dt - descending triangle. ower highs. didn't participate well in the rally & it's overbought.   ,decrease
cva over 19.00  ,increase
mck  over 100.05 -   ,increase
vmed you know we prefer 3-4 day pullback to reverse so maybe mon or tuesday on flag break or at sup  ,increase
"just kidding, more legible version. currently long fs (tweeted on friday)  ",increase
ford will perform well due to hurricane sandy's destruction. f palladium will do well pa banks are a buy picks are bac c san gs,increase
gs is a buy on pullback to 133 or on bigger pullback to 130.,increase
ceg keep it on you watch list.,increase
i wish tv would die already like all the newspapers told me  cbs ftw!,increase
i think aap is heading back down to check in on 506 support again,decrease
amzn but but but.....yap yap yap,increase
sndk pattern looking more interesting. can it successfully break into the gap this time around?  ,increase
"#amzn at all-time highs pre-market , aapl still plunging.  should be an interesting trading day!",increase
see risk to es_f 1442.00-1423.75 as bearish momentum divergences resolve spx spy #stocks.   ,decrease
user: onxx strong price & vol expansion friday. possibly looking for higher prices  > another biotech with 2 levels,increase
znga momentum building to the upside.? on watch.,increase
es from watch list also fast move today  volume of 77% ave full day as usually tiny volume  ,increase
twi like this long 24% short...  ,increase
"green weekly triangle on heo,....pdating  ",decrease
eog - 60 min pullback to breakout - watching 1/2 position    ,increase
kcg to 3.75?,increase
zcs almost hit my stop loss...glad to see it heading back up,increase
aap closed my short for some nice gains.,decrease
"v beautiful uptrend since june '12. never once broke higher high, higher low trend  ",increase
the most awesome aap trendline ever. since 1986!!   ,decrease
"ddd - ong  27.95. trailing stop  42.35 from 7 prior stops of 41.70, 39.03, 36.53, 32.35, 27.95, 25.44 and 22.93 -  ",increase
nx was largest watch list gainer new buy on friday and biggest mover today so protect gains  ,increase
"green weekly triangle on ktos,....pdating  ",decrease
ak corrected me - pphm  largest watch list gainer today - though it gapped up big on open   ,increase
aap positive close above 530 today is bullish. i'll be looking for possible ong set up.,increase
ceg possible ong today if you want to play the jpmogan biotech conference.,increase
"fme: ong  10.25. trailing stop  13.75 from 8 prior stops of 12.29, 11.50, 10.97, 10.63, 10.36, ... 9.64 & 9.03 -  ",increase
i showed this ma on friday with the upside orange dot traget at 517+ hit that this morn now red dot  ,decrease
to triggered above 34. first target 34.55-.90,increase
sxc - breaking above key downward channel level. ikely to move much higher from here.  ,increase
"must follow the young man user: amzn the data company, not the retailer.  a new post by me.   ",increase
pg short back on,decrease
ovti downgrade on sept 7th 16.77 after q1 looking good. next filing q3 end of feb.  ,decrease
vs option trader sells 26k of the 47.25 - 52.25 call spreads in march. big bet that stock will be below 47.25 by march expiry,decrease
"aa option traders bet on bad earnings selling 6,200 jan 9c and buying 3,200 jan 9p. could be hedge on stock. both trades against low oi",decrease
skx q3 operational cash flow negative 60million. 80million decline vs.q3 2011,decrease
skx 9 mos. 2012 operational cash flow negative 20 million. 95 million decline vs. 9mos 2011,decrease
"ed weekly triangle on snss,.....pdating  ",increase
bac avrg 12.127 ,increase
first trade coming back from vacation. hot short at 59.80. stop at 60.30,decrease
"green weekly triangle on scc,....pdating  ",decrease
podd breaking out to new 52wk highs from a decent base  ,increase
3 horsemen of high beta momo chase fs gmc nfx being slammed a bit here : advanced tell that the new year party is over for the mrkt ?,decrease
pna looks like a solid set up,increase
names to buy on pullbacks gs ceg fb f,increase
ba for a flush down,decrease
"amazon breaks 1,600 (adjusting for the splits)  via user amzn",increase
"financials xf have been driving this mkt higher, today they are weak-ish (except for jpm) for 1st time in while, little red flag 1...",decrease
on our ive broadcast we got this long signal on pcn and covered discount buy-in ! needs push  ,increase
"amzn vome is a go, big boys grabbing some stocks. higher prices to come.",increase
twi at highs not seen since september  ,increase
"user won gold in our 2011 stock contest w v,  won silver in 2012 w tkc. will his ddaif call win in 2013?  ",increase
amzn fb your pick for higher prices this week. both breaking out with considerable volume.,increase
eceryone wants a piece of pcn gorwth and magic...stakes are so high...innovation so fast and marketing stakes high  ,increase
"user scheplick it's easy to short amzn - buy an ipad mini, a tax prep book at borders and some ackspace time.;-)",decrease
might open a position on s today. cup and handle can make this one fly to 7-7.5 quickly.,increase
"cs, kos positive.... nice reversal in kos",increase
axp trying to make a move too. getting interesting.,increase
ma a strong follow thru day after breaking out to new highs last friday - confirmation is solid  ,increase
"v new highs, looking for higher prices from here  ",increase
ceg a strong breakout to new highs today on 2x the daily avg. volume. ooks good for more upside  ,increase
wetf cheap financial stock that is trying to b/o. would like to see a pullback/consolidation first  ,increase
"nfx shorts should be paranoid on every close as a buyout will come 1 night from aapl, msft, goog, amzn, etc.  dominate webtv long nflx",increase
"as in the last 3 sessions, last hour buyers are back, more money need to be put to work... money flows... spy tt es_f",increase
"user the stock isn't telling us anything new, but the trend is saying a lot. this e is aap's most anticipated in years.",increase
all of the above: rax setting up again  spy,increase
pcn - long entry  ,increase
"green weekly triangle on ampe,....sell short at 4.15  ",decrease
"green weekly & monthly triangle on fws,....pdating to monthly  ",decrease
"user are you saying zagg will up another 23%, how?",decrease
"green weekly & monthly triangle on pab,....pdating  ",decrease
744.96 is a great level for a close on goog,increase
"aap short-term outlook. 3 possible scenarios, 2 of them are bullish  ",increase
barclays upside case for csod is a year end price target of 46.  based on 8x cy'14 revenues and 10% upside to estimates. quite achievable!,increase
ctxs (conservative swing) once again bouncing nicely off support (w/volume)  mcp (aggressive swing) however strong probability.,increase
user: amzn it's time for this bird to fly south!  ,decrease
"vvs technicals are positive for a continued climb. si, obv and macd all look good to me  ",increase
"akx b/out 13.78, like the base action under spot & declining vol, ripe for pop  ",increase
"hao b/out 7.20, price was rejected at 7.19 today, also high on 12/21  ",increase
"hway b/out 11.08, nice base under the spot  ",increase
yum down premarket through the cloud but has support at about 62.75   ,decrease
"multi-day downswing in es_f favored, see demand zone at 1442.00-1423.75 spx spy #stocks.   ",decrease
"mon - not making sales here - we will be buyers of weakness, looks like game on for a while...",increase
fin 9mos operational cash flow declines 15million vs. prior yr first 9mos.  198% decline,decrease
ayi q1 operational cash flow turns negative,decrease
ayi 1st negative operational cash flow quarter since quarter novemebr 2008,decrease
ayi 2013 q1 operational cash flow negative 14.5 million. decline of 41 million vs. q1 2012.  152% decline,decrease
my 526.20 bid not hit in aapl so i am expecting at least a move to 540 today :),increase
"mon 2013 q1 operational cash flow 1.569 billion,  a 459 million increase vs 2012 q1.  41% increase",increase
fio nothing but air under stock until 17.70-17.80  ,decrease
"aap daily fade in motion again, people that want to be out are still at work...",decrease
i shorted nfx here with a 1.00 stop.,decrease
ctic got long,increase
catch up user: hot inks is totally off the hook this morning - so many great reads  aap maco,increase
ihs year end operational cash flow declined 27 million vs. 2011. an  8.19% decline,decrease
watch xf jpm bac od closely...,decrease
unit cost at 1.60 this see a bounce ctic,increase
with little whips on pops and drops don't go all in on one purchase avg in through out the day limit exposure and % of portfolio ctic,increase
"shd get short, someone big must be exiting imo... sitting on some 40 puts from this am!",decrease
mon - added,increase
"if you'd like to gag on the new american socialism, enjoy this video courtesy aig:  ",decrease
jnp - added,increase
x - added,increase
"user mr. florida, hope all is well.  you've trade save in the past, so im asking you.  do you like it here?  ooking to fill gap?",increase
shd ... why won't you die already? ampert doesn't know 2 sh*ts about running a retail. he bought sears for the property... ,decrease
"wn: ong  19.79. trailing stop  24.39 from 6 prior stops of 23.76, 20.42, 19.79, 18.09, 17.13 and 16.39 -  ",increase
"deck: short  66.41. trailing stop  44.16 down from 5 prior stops of 51.65, 59.07, 66.41, 74.13 & 81.85 -  ",decrease
wfm - short back on,decrease
"nice base building here 1.50 -1.54 on ctic should test hod's in the afternoon, setting up nicely for follow thru tomorrow. #tradeoftheweek",increase
up to 16 million shares on ctic almost 10x avg daily vol. i don't think this is a one day story. gap up to 2.05 plenty of rm to run imho,increase
shd eddie ampert is a 1 trick pony...,decrease
"et the angry, anecdotal comments begin: why i still think blackberry & im are doomed.  imm aap goog nok t vz",decrease
user i think aap putting in a long term bottom.....of course i could be wrong but that is what it looks like :-),increase
i had a price alert go off for www while off the desk.,decrease
gg to be delisted soon typicall pump and dump same story over the last few months be careful one day trades over a mil next day ur stuck,decrease
tso option trader buys 10k of the feb 40p for 1.60. a 1.6 million bet stock will be below 40 by feb exp. could be hedge too. oi is 544,decrease
ddd ssy stops honored.  so be it. now.... must.not.become.bearshitter.,decrease
cybx keeps consolidating near all-time highs  ,increase
ddd the sentiment on this stock can change in a blink of an eye.  not for the faint of heart.  still long term bullish.,increase
mcp bottom at 11.00? strong esistance. nder these level...short breakout chance.,decrease
aig wins the awsuit then announces dividend reinstatement. :),increase
tivo is a buyout coming? sure seems strong of late?,increase
biggest mistake i made all day was not sticking to my gut on reversal in #soas #2 not sticking to my watchlist dk stp ana kog,increase
ddd looks an easy short,decrease
my instincts are spot on in 2013 and still think ctic will hit 2.05 this wk but still want to stick to my morning watchlist & not chase,increase
ax looks good for higher prices  ,increase
cm holding up well   ,increase
"ana with the conference tomorrow, i guess we will hit 10.05 after all...",increase
"nfx - hearing pjco out cautious following comscore data: following weak december, overall 4q traffic again turns negative user",decrease
"se pullback 2 initiate quick trades, not invest, long. keep stops tight & sell up.  aap egn ocn amh ddd nsm",increase
"piper jaffray making negative comments on nfx and cst ed box : comscore q4 data weak for edbox, netflix",decrease
maybe a good time to buy td the 44 level appears to be holding as a key support level,increase
"csn option trader buys 1,500 of the jan 11-16 call spread against low oi indicating entering a position for .50. bet on data bef. jan 19",increase
aa there goes the kids college fund!,increase
x option trader takes profits in feb26p selling 8k against 8k oi and rolling position to feb 25p buying 8k at 1.48,decrease
"green monthly triangle on acad,....net profit  7,177.00 (11.49%)  ",increase
so far so good regarding our apo #earnings strategy. far too soon to call it a win though.  ,increase
aa this is why i went all in..,increase
"does aa hold the key for the spx?  when aa is up on earnings, spx up +1.90% a mo. later.  ",increase
"my call for the week aa, wfc, apo, mon",increase
aa i don't like the spin on operational cash flow,decrease
apo q1 2013 operational cash flow 210 million. a 90million decline vs. 2012 q1.  30% decline,decrease
"ed weekly triangle on ams,....net profit  26,135.00 (38.40%)  ",decrease
cm avg tho amwd  coiling for breakouts to new highs. set buy stops slightly above the most recent highs.,increase
"user jemberlin that is my number too, will be a good swing, but personally i hate amd,",decrease
spy spx es  green hedges stars model: next stop 1410.56 spx 1387.92 if lower.,decrease
swhc looks like ban on large capacity magazines and more hurdles to purchase are on the table for the politicians.  was on the evening news,increase
aa q4 operational cf declined 209m vs. q4'11. 18% decine. p spin says it was higher than q3 2012. note q3 '12 was 263m less than q3'11,decrease
ht closed > 200 sma (barely) for 3rd time since oct- eps out of the way- watch for volume > 55  ,increase
user pwe and the crazy hao is in green weekly triangle are you in short or long,decrease
wt had a huge 39 seller today... check out the daily... hold over 40-42 loooks good for a swing,increase
aj over 18.00 on good volume   ,increase
cybx broke out to all time highs accompained by a strong volume suggesting higher levels.  ,increase
onty looks poised for bounce from bottom. si starting to turn up & macd is crossing up its signal  ,increase
still trading within an uptrend channel. short-term uptrend still intact. i'm still bullish on nvda  ,increase
vvs vivus ceo eportedly says acquisition is 'inevitable' talking to deal eporter at the j.p. morgan  ,increase
user: c     what is a runner     ,increase
"v is now one of my longest growth stock holdings, ever (19 months and counting)...",increase
fio bouncing some this morning (25% short interest) still nothing but air till 17.90s  ,decrease
